max,min,wind,wind_d,rain,humidi,cloud,pressure,date
29,22,6,SE,18.5,89,68,1010,1/1/2009
28,22,9,NE,1.8,83,62,1011,1/2/2009
25,22,6,E,7.2,87,68,1012,1/3/2009
29,21,4,SSE,0.5,83,40,1011,1/4/2009
31,21,5,ESE,0,77,29,1011,1/5/2009
32,22,5,ESE,0.3,77,29,1011,1/6/2009
32,23,5,SE,3.8,81,26,1012,1/7/2009
31,22,7,ENE,0,74,14,1013,1/8/2009
32,20,12,E,0,66,5,1014,1/9/2009
28,18,11,SW,0,66,26,1014,1/10/2009
28,18,9,WNW,0,69,26,1014,1/11/2009
29,19,5,SSW,0,69,40,1016,1/12/2009
29,21,10,ENE,0,63,23,1017,1/13/2009
30,18,9,ENE,0,64,11,1017,1/14/2009
30,18,8,E,0,65,20,1016,1/15/2009
31,20,6,SSE,0,67,12,1015,1/16/2009
35,20,6,ESE,0,66,6,1014,1/17/2009
35,21,5,E,0,68,12,1013,1/18/2009
36,22,6,SW,0,66,4,1012,1/19/2009
36,22,6,SSE,0,67,2,1011,1/20/2009
36,21,5,S,0,64,9,1011,1/21/2009
34,23,4,SW,0,67,27,1010,1/22/2009
29,24,6,SSW,0.2,75,44,1010,1/23/2009
29,24,7,ENE,0.1,72,63,1011,1/24/2009
33,24,6,ESE,0,65,40,1012,1/25/2009
35,23,4,SSE,0,63,26,1012,1/26/2009
34,24,6,ESE,0,62,16,1011,1/27/2009
34,23,6,S,0,60,7,1011,1/28/2009
35,22,7,S,0,60,6,1011,1/29/2009
35,22,5,WSW,0,62,8,1011,1/30/2009
36,24,8,SSE,0,62,3,1011,1/31/2009
35,23,7,E,0,62,5,1012,2/1/2009
34,22,6,S,0,58,11,1012,2/2/2009
33,23,6,SW,0,65,32,1011,2/3/2009
33,23,7,SSW,0,64,20,1011,2/4/2009
34,22,7,S,0,65,26,1011,2/5/2009
36,22,7,E,0,55,11,1012,2/6/2009
36,22,7,S,0,57,15,1011,2/7/2009
35,23,5,WSW,0,57,13,1012,2/8/2009
35,22,6,SW,0,61,25,1011,2/9/2009
32,25,5,SSW,6,72,71,1011,2/10/2009
27,24,4,SW,7.9,86,66,1010,2/11/2009
30,23,5,SSW,7.4,78,73,1009,2/12/2009
35,23,5,SSE,0.8,71,47,1008,2/13/2009
35,24,7,S,2.3,69,41,1008,2/14/2009
28,25,6,SE,4.7,85,50,1009,2/15/2009
36,24,7,SE,1.7,72,46,1010,2/16/2009
35,25,9,SE,1.4,65,27,1010,2/17/2009
35,26,8,SSW,0.2,64,35,1009,2/18/2009
35,26,12,ESE,0,60,11,1009,2/19/2009
36,26,8,ESE,0.2,61,24,1011,2/20/2009
37,26,11,ESE,0,58,8,1009,2/21/2009
37,26,9,ESE,0,56,22,1008,2/22/2009
34,26,7,ESE,0,57,27,1009,2/23/2009
37,26,9,ESE,1.1,57,15,1009,2/24/2009
37,26,10,SE,0.4,59,11,1009,2/25/2009
35,28,10,ESE,0,55,28,1009,2/26/2009
